date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:10	313196/313196	---MCZ	200	added ('OK')	text/html	etag:%22894BEBB56121575A88B4FD49EC25FE7C%22	https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p	C:/Users/dayme/OneDrive/Desktop/Telas/wella/loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p.html	(from )
22:29:11	329/329	---M-Z	200	added ('OK')	text/plain	date:Thu,%2022%20May%202025%2001:29:14%20GMT	https://loja.wella.com.br/robots.txt		(from )
22:29:12	279146/279146	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2022%20May%202025%2001:29:15%20GMT	https://cdnjs.cloudflare.com/polyfill/v3/polyfill.js	C:/Users/dayme/OneDrive/Desktop/Telas/wella/cdnjs.cloudflare.com/polyfill/v3/polyfill.js	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:13	21264/21264	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2022%20May%202025%2001:29:15%20GMT	https://loja.wella.com.br/files/tagmanager-customize-head-top.min.js?v=date	C:/Users/dayme/OneDrive/Desktop/Telas/wella/loja.wella.com.br/files/tagmanager-customize-head-top.min74c0.js	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:13	1936/1936	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:46%20GMT	https://wella.vteximg.com.br/arquivos/apple-icon-57x57.png?v=637769850388100000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/apple-icon-57x5742bd.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:14	1971/1971	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:46%20GMT	https://wella.vteximg.com.br/arquivos/apple-icon-60x60.png?v=637769850388700000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/apple-icon-60x6061cd.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:14	2320/2320	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:46%20GMT	https://wella.vteximg.com.br/arquivos/apple-icon-72x72.png?v=637769850388870000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/apple-icon-72x72a0df.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:15	2419/2419	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:40%20GMT	https://wella.vteximg.com.br/arquivos/apple-icon-76x76.png?v=637769850323500000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/apple-icon-76x760d70.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:15	3472/3472	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:46%20GMT	https://wella.vteximg.com.br/arquivos/apple-icon-114x114.png?v=637769850383100000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/apple-icon-114x114932a.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:16	3675/3675	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:46%20GMT	https://wella.vteximg.com.br/arquivos/apple-icon-120x120.png?v=637769850382000000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/apple-icon-120x1209d99.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:16	4454/4454	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:46%20GMT	https://wella.vteximg.com.br/arquivos/apple-icon-144x144.png?v=637769850381500000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/apple-icon-144x144103b.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:17	4835/4835	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:46%20GMT	https://wella.vteximg.com.br/arquivos/apple-icon-152x152.png?v=637769850380600000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/apple-icon-152x1527096.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:17	5918/5918	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:45%20GMT	https://wella.vteximg.com.br/arquivos/apple-icon-180x180.png?v=637769850379800000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/apple-icon-180x1801a3d.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:18	5351/5351	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:46%20GMT	https://wella.vteximg.com.br/arquivos/android-icon-192x192.png?v=637769850384970000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/android-icon-192x192dbbe.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:18	587/587	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:44%20GMT	https://wella.vteximg.com.br/arquivos/favicon-32x32.png?v=637769850362270000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/favicon-32x32f4bf.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:18	3048/3048	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:44%20GMT	https://wella.vteximg.com.br/arquivos/favicon-96x96.png?v=637769850361030000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/favicon-96x9669fa.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:19	261/261	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jan%202022%2013:10:44%20GMT	https://wella.vteximg.com.br/arquivos/favicon-16x16.png?v=637769850362600000	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/arquivos/favicon-16x16ead6.png	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:19	93636/93636	---MCZ	200	added ('OK')	application/javascript	etag:W/%223576a6e73c9dccdbbc4a2cf8ff544ad7%22	https://io.vtex.com.br/front-libs/jquery/1.8.3/jquery-1.8.3.min.js?v=1.0.0.0	C:/Users/dayme/OneDrive/Desktop/Telas/wella/io.vtex.com.br/front-libs/jquery/1.8.3/jquery-1.8.3.min4198.js	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:20	12324/12324	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2233cca7aead105276606536984f503d00%22	https://wella.vteximg.com.br/scripts/swfobject.js?v=1.0.0.0	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/scripts/swfobject4198.js	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:20	595/595	---M--	200	added ('OK')	application/x-javascript	etag:%2212a2504c83c60c899a9b9223fcd2aa60%22	https://wella.vteximg.com.br/scripts/vtex.ajax.wait.js?v=1.0.0.0	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/scripts/vtex.ajax.wait4198.js	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
22:29:21	4395/4395	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2205597b0232c5dcf965edbbc73916008d%22	https://wella.vteximg.com.br/scripts/vtex.common.js?v=1.0.0.0	C:/Users/dayme/OneDrive/Desktop/Telas/wella/wella.vteximg.com.br/scripts/vtex.common4198.js	(from https://loja.wella.com.br/kit-ultimate-luxe-oil-litro-shampoo-mascara-oleo-kit-141/p)
