date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:19	44121/44121	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20May%202025%2016:09:22%20GMT	https://loja.wella.com.br/checkout/	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/loja.wella.com.br/checkout/index.html	(from )
13:09:19	329/329	---M-Z	200	added ('OK')	text/plain	date:Thu,%2029%20May%202025%2016:09:22%20GMT	https://loja.wella.com.br/robots.txt		(from )
13:09:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2029%20May%202025%2016:09:23%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/www.googletagmanager.com/gtm.15445.delayed	(from https://loja.wella.com.br/checkout/)
13:09:20	17/17	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2011%20Mar%202025%2022:10:56%20GMT	https://loja.wella.com.br/arquivos/wella-apple-touch-icon.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/loja.wella.com.br/arquivos/wella-apple-touch-icon.png	(from https://loja.wella.com.br/checkout/)
13:09:21	40/40	---M--	404	error ('Not%20Found')	application/json	date:Thu,%2029%20May%202025%2016:09:24%20GMT	https://wella.vteximg.com.br/arquivos/wella-apple-touch-icon.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/wella.vteximg.com.br/arquivos/wella-apple-touch-icon.3.delayed	(from https://loja.wella.com.br/checkout/)
13:09:21	106006/106006	---MCZ	200	added ('OK')	text/css	etag:W/%22282663d1dc8a60dcef58304c09005aa5%22	http://io2.vtex.com/front-libs/bootstrap/2.3.2/css/bootstrap.min.css	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/front-libs/bootstrap/2.3.2/css/bootstrap.min.css	(from https://loja.wella.com.br/checkout/)
13:09:22	16840/16840	---MCZ	200	added ('OK')	text/css	etag:W/%22365a247af4036532701d83957e490adc%22	http://io2.vtex.com/front-libs/bootstrap/2.3.2/css/bootstrap-responsive.min.css	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/front-libs/bootstrap/2.3.2/css/bootstrap-responsive.min.css	(from https://loja.wella.com.br/checkout/)
13:09:23	159398/159398	---MCZ	200	added ('OK')	text/css	etag:W/%22d967e28618684a565f360b63db9285b9%22	http://io2.vtex.com/front-libs/onda/1.0.0/onda.min.css	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/front-libs/onda/1.0.0/onda.min.css	(from https://loja.wella.com.br/checkout/)
13:09:23	22084/22084	---MCZ	200	added ('OK')	text/css	etag:W/%227fbe76cdac6093784895bb4989203e5a%22	http://io2.vtex.com/front-libs/font-awesome/3.2.1/css/font-awesome.min.css	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/front-libs/font-awesome/3.2.1/css/font-awesome.min.css	(from https://loja.wella.com.br/checkout/)
13:09:23	2697/2697	---MCZ	200	added ('OK')	text/css	etag:W/%227cb1c393541987cb42a893fbf19ad922%22	http://io2.vtex.com/checkout-ui/v6.127.0/lib/front-messages-ui/vtex-message.min.css	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/lib/front-messages-ui/vtex-message.min.css	(from https://loja.wella.com.br/checkout/)
13:09:24	17/17	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2018%20Nov%202024%2008:20:27%20GMT	https://loja.wella.com.br/arquivos/checkout-custom.css?v=d41d8cd9	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/loja.wella.com.br/arquivos/checkout-custom7abd.css	(from https://loja.wella.com.br/checkout/)
13:09:24	262398/262398	---MCZ	200	added ('OK')	text/css	etag:W/%2218506b6fe78086e02b2c298f64e70357%22	http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/style/style.css	(from https://loja.wella.com.br/checkout/)
13:09:24	0/0	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Jan%202022%2013:10:45%20GMT	https://wella.vteximg.com.br/arquivos/checkout-custom.css?v=d41d8cd9	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/wella.vteximg.com.br/arquivos/checkout-custom7abd.css	(from https://loja.wella.com.br/checkout/)
13:09:25	300686/300686	---MCZ	200	added ('OK')	text/css	date:Thu,%2029%20May%202025%2016:09:28%20GMT	https://loja.wella.com.br/files/checkout6-custom.css?v=166e7e5f	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/loja.wella.com.br/files/checkout6-custom5ffd.css	(from https://loja.wella.com.br/checkout/)
13:09:26	85422/85422	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2019%20May%202025%2015:28:00%20GMT	http://io2.vtex.com/v3/polyfill.min.js?features=Object.values,Object.entries,Object.fromEntries,Object.assign,Array.from,Array.prototype.findIndex,Array.prototype.fill,Array.prototype.find,Array.prototype.includes,String.prototype.startsWith,String.prototype.endsWith,String.prototype.includes,Symbol,fetch,Promise,Map,Number.isInteger,Number.isNaN,Set,Function.name,URL,IntersectionObserver,Intl.~locale.pt-BR,Object.defineProperty&flags=gated	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/v3/polyfill.min912e.js	(from https://loja.wella.com.br/checkout/)
13:09:28	5376/5376	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2025%20Feb%202025%2005:05:37%20GMT	http://vtex.vtexassets.com/_v/public/assets/v1/npm/@vtex/render-extension-loader@0.2.2/lib/render-extension-loader.min.js	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/vtex.vtexassets.com/_v/public/assets/v1/npm/@vtex/render-extension-loader@0.2.2/lib/render-extension-loader.min.js	(from https://loja.wella.com.br/checkout/)
